시도별,연령계층별,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
계,15 - 29세,7.85,7.25,7.15,8.075,7.975,7.625,7.525,8.025,9.025,9.15,9.825,9.875
서울특별시,15 - 29세,8.8,7.475,7.675,8.225,8.45,8.325,8.3,8.65,10.325,9.275,10.225,10.125
부산광역시,15 - 29세,8.2,8.3,8.2,9.1,8.95,8.8,8.675,8.8,9,9.75,9.875,11.55
대구광역시,15 - 29세,9.45,8.9,8.925,9.85,9.225,7.975,7.975,9.925,11.425,10,11.95,11.5
인천광역시,15 - 29세,9.225,8.25,7.625,8.175,8.5,9.975,10.375,9.275,12.125,11.9,11.475,10.575
광주광역시,15 - 29세,10.75,9.975,8.6,7.75,8.475,6.675,7.45,7.325,6.7,7.65,9.75,7.45
대전광역시,15 - 29세,9.075,8.7,7.7,8.225,8.525,7.875,8.775,7.225,7.675,8.75,8.025,7.65
울산광역시,15 - 29세,7.175,6.05,7.425,8.325,7.175,5.675,7.45,6.6,8.025,9.575,11.2,8.8
경기도,15 - 29세,6.85,6.55,6.5,8.375,8.325,7.275,6.875,7.25,8.325,9.075,9.775,10.525
강원도,15 - 29세,3.8,6.475,4.5,6.1,5.8,5.15,6.65,7.175,10.2,12.95,10.2,8.15
충청북도,15 - 29세,6.4,7.35,7.05,6.225,5.375,6.15,6.55,6.825,8.75,7.2,6.525,6.475
충청남도,15 - 29세,6.2,5.5,6.3,8.075,6.775,6.375,5.45,8.625,8.35,8.2,8.575,9.475
전라북도,15 - 29세,9.8,6.9,7.475,8.1,7.05,8.3,6.85,6.35,6.475,5.65,9.4,9.2
전라남도,15 - 29세,5.925,5.8,7.275,5.45,6.975,7.175,5.95,7.225,10,9,10.75,10.15
경상북도,15 - 29세,8.025,6.825,6.5,7.65,6.8,7.675,6.925,10.75,7.7,8.9,10.25,9.375
경상남도,15 - 29세,6.25,6.425,5.8,7.05,6.45,6.075,5.875,5.8,6.975,8.8,8.525,8.75
제주도,15 - 29세,5.4,5.4,4.1,3.975,5.1,4.625,5.25,5.9,5.975,4.975,5.275,5.675
,,,,,,,,,,,,,
세종시가 없음 ㅅㅄㅂ,,,,,,,,,,,,,
"통계청, 경제활동인구조사",,,,,,,,,,,,,
